텍스트,프롬프트,적절도 5점 척도,이유(예시: 이 텍스트는 ~한데 이 오디오는 ~해서 적절하다/부적절하다)
"""The icy wind swept across the desolate mountains, piercing me with its chilling breath.""","""Haunting ambient soundscape with cold wind gusts and distant howls.""",,
,"""Orchestral strings rising and falling like the storm, evoking despair.""",,
,"""Minimalist piano with echoing notes, evoking isolation in a frozen land.""",,
"""I beheld the wretch — the miserable monster whom I had created.""","""Dark cinematic score with tense drones and sudden sharp tones.""",,
,"""Heavy percussion and low brass, conveying dread and confrontation.""",,
,"""Distorted electronic textures suggesting horror and shock.""",,
"""The candle was nearly burnt out when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open.""","""Slow suspenseful build-up with eerie strings and faint whispers.""",,
,"""Horror soundscape with flickering crackles and heartbeat-like pulses.""",,
,"""Quiet ambient tones with sudden sharp violin screech for shock.""",,
"""The castle is on the very edge of a terrible precipice, with only a narrow roadway leading to its gates.""","""Gothic orchestral score with deep organ chords and looming tension.""",,
,"""Dark ambient with wind whistling through stone halls.""",,
,"""Suspenseful cinematic soundtrack with slow percussion and echo.""",,
"""There are dark, rolling clouds overhead, and in the valleys below a mist creeps along the ground.""","""Haunting soundscape with thunder rumbles and low drones.""",,
,"""Mystical ambient with layered choirs and distant bells.""",,
,"""Minimal synth textures with subtle dissonance, evoking unease.""",,
"“There are mysteries which men can only guess at, which age by age they may solve only in part.”","""Philosophical, reflective piano theme with soft reverb.""",,
,"""Somber strings with a slow, questioning melody.""",,
,"""Ambient soundscape with spoken-word echoes, mystical tone.""",,
"“It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.”","""Light, witty orchestral music with playful strings and harpsichord.""",,
,"""Cheerful piano theme with subtle irony, evoking polite society.""",,
,"""Elegant chamber ensemble with a humorous undertone.""",,
"“I could easily forgive his pride, if he had not mortified mine.”","""Gentle solo piano with a bittersweet, reflective melody.""",,
,"""Soft strings with rising tension, expressing wounded pride.""",,
,"""Minimalist harp and flute, evoking irony and hurt feelings.""",,
“You must allow me to tell you how ardently I admire and love you.”,"""Romantic string quartet swelling with passion.""",,
,"""Tender piano and violin duet, expressing sincerity.""",,
,"""Gentle orchestral theme with a dramatic emotional climax.""",,
"“My father’s family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip.”","""Warm orchestral theme with nostalgic overtones.""",,
,"""Gentle woodwinds and harp, evoking childhood innocence.""",,
,"""Lighthearted piano melody, suggesting memory and beginnings.""",,
"“A fearful man, all in coarse gray, with a great iron on his leg.”","""Dark, ominous strings with deep percussion.""",,
,"""Tense ambient soundscape with metallic clanging echoes.""",,
,"""Low brass and cello tones, conveying menace and fear.""",,
"“The marshes were just a long black horizontal line then, as I stopped to look after him.”","""Sparse ambient tones with distant wind and low drones.""",,
,"""Somber orchestral theme with muted strings.""",,
